GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tester-common,io.qkits.common.dataprovider,TestDataSourceType,34,0,0,0,2,0,1,0,1,0
tester-common,io.qkits.common.utils,QBeanUtils,3,0,0,0,1,0,1,0,1,0
tester-common,io.qkits.common.utils,QDateUtils,0,43,0,0,0,8,0,4,0,4
tester-common,io.qkits.common.utils,QFileUtils,255,0,18,0,38,0,21,0,12,0
tester-common,io.qkits.common.utils,Triple,145,24,30,0,0,4,19,7,4,7
tester-common,io.qkits.common.utils,MapUtils,135,0,14,0,30,0,14,0,7,0
tester-common,io.qkits.common.utils,QExcelUtils,17,0,0,0,6,0,4,0,4,0
tester-common,io.qkits.common.utils,JsonUtils,283,0,24,0,57,0,22,0,10,0
tester-common,io.qkits.common.exception,TestDataException,23,0,0,0,10,0,5,0,5,0
tester-common,io.qkits.common.exception,APITestException,23,0,0,0,10,0,5,0,5,0
tester-common,io.qkits.common.utils.codec,Base64Util,11,0,0,0,3,0,3,0,3,0
tester-common,io.qkits.common.utils.web,CookiePair,23,0,0,0,10,0,5,0,5,0
tester-common,io.qkits.common.db,DataType,64,0,0,0,7,0,1,0,1,0
tester-common,io.qkits.common.db,DataSourceConfigFactory,42,0,0,0,11,0,3,0,3,0
tester-common,io.qkits.common.db,DriverClassMapping,34,0,2,0,8,0,4,0,3,0
tester-common,io.qkits.common.db,ConnectorException,23,0,0,0,10,0,5,0,5,0
tester-common,io.qkits.common.http,OkHttpClientWrapper,83,0,2,0,22,0,4,0,3,0
tester-common,io.qkits.common.generator.risk,SimpleTimestampIdGenerator,166,0,18,0,36,0,13,0,4,0
tester-common,io.qkits.common.generator.risk,UUIDIdGenerator,24,0,0,0,3,0,3,0,3,0
tester-common,io.qkits.common.generator.idcard,ChineseAreaList,2748,0,0,0,688,0,2,0,2,0
tester-common,io.qkits.common.generator.idcard,ChineseIDCardNumberGenerator,134,448,0,2,20,67,4,8,4,7
tester-common,io.qkits.common.generator,ChineseNameGenerator,516,0,0,0,7,0,5,0,5,0
tester-common,io.qkits.common.generator,EmailAddressGenerator,28,0,0,0,6,0,3,0,3,0
tester-common,io.qkits.common.generator,EnglishNameGenerator,2297,0,0,0,5,0,4,0,4,0
tester-common,io.qkits.common.generator,ChineseCharUtils,118,0,6,0,26,0,9,0,6,0
tester-common,io.qkits.common.generator,InsertSQLGenerator.new Function() {...},20,0,0,0,3,0,2,0,2,0
tester-common,io.qkits.common.generator,CSVFileGenerator,88,0,8,0,20,0,7,0,3,0
tester-common,io.qkits.common.generator,InsertSQLGenerator,133,0,2,0,34,0,7,0,6,0
tester-common,io.qkits.common.generator,GenericGenerator,9,6,2,0,3,2,2,2,1,2
tester-common,io.qkits.common.generator,AgeGenerator,77,0,0,0,14,0,4,0,4,0
tester-common,io.qkits.common.generator.mobile,ChineseMobileNumberGenerator,206,0,0,0,8,0,5,0,5,0
tester-common,io.qkits.common.generator.address,ChineseAddressGenerator,88,0,0,0,12,0,4,0,4,0
tester-common,io.qkits.common.generator.bank,BankCardTypeEnum,34,0,0,0,6,0,2,0,2,0
tester-common,io.qkits.common.generator.bank,BankCardNumberValidator,63,0,12,0,10,0,8,0,2,0
tester-common,io.qkits.common.generator.bank,LuhnUtils,45,0,4,0,9,0,4,0,2,0
tester-common,io.qkits.common.generator.bank,BankNameEnum,455,0,0,0,61,0,12,0,12,0
