GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp.py,PyCreditPersonDebtPayingEntryMock,70,0,0,0,13,0,3,0,3,0
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp.py,PyCorpCourtEntryMock,137,0,0,0,45,0,3,0,3,0
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp.py,PyAntifraudEntryMock,89,0,2,0,19,0,6,0,5,0
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp.py,PyCreditCourtEntryMock,77,0,0,0,27,0,3,0,3,0
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp.py,PyCreditMultiLendingEntryMock,172,0,2,0,46,0,4,0,3,0
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp,DecoratorOrderQueryMock,27,0,0,0,11,0,3,0,3,0
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp,PhoneDetailAggMock,96,0,0,0,30,0,4,0,4,0
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp,XinyanBehaviorReportEntryMock,53,0,0,0,13,0,3,0,3,0
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp,DecorateDAMock,180,0,0,0,46,0,3,0,3,0
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp,XinyanBlacklistEntryMock,29,0,0,0,7,0,3,0,3,0
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp,IceKreditScoreMock,16,0,0,0,7,0,3,0,3,0
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp,JDBlacklistMock,41,0,0,0,12,0,3,0,3,0
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp,YfbDataAggregateMock,164,0,2,0,38,0,5,0,4,0
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp,ReserveInternalProfileEntryMock,308,0,0,0,65,0,3,0,3,0
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp.roster,ContactRosterHitInfoEntryMock,67,0,2,0,17,0,5,0,4,0
tester-data,io.qkits.testdata.riskmock.loader,RowFeatureCase,195,0,38,0,5,0,32,0,13,0
tester-data,io.qkits.testdata.riskmock.loader,ExcelFeatureCaseLoader,184,0,10,0,37,0,10,0,5,0
tester-data,io.qkits.testdata.riskmock.thirdparty,TPMockRequest,10,0,0,0,4,0,2,0,2,0
tester-data,io.qkits.testdata.riskmock.thirdparty,ThirdPartyServiceMapping.TPProviderEnum,194,0,0,0,6,0,1,0,1,0
tester-data,io.qkits.testdata.riskmock.thirdparty,TPMockResponse,10,0,0,0,4,0,2,0,2,0
tester-data,io.qkits.testdata.riskmock.thirdparty,ThirdPartyServiceMapping,127,0,0,0,23,0,3,0,3,0
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp.bairong,BaiRongCrimeEntryMock,54,0,0,0,10,0,3,0,3,0
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp.bairong,BaiRongBlackListCourtEntryMock,26,0,0,0,6,0,3,0,3,0
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp.bairong,BaiRongCourtEntryMock,32,0,0,0,6,0,3,0,3,0
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp.tongdun,TongDunAntiFraudEntryV2Mock,12,0,0,0,4,0,3,0,3,0
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp.tongdun,TongDunAntiFraudEntryMock,172,0,4,0,11,0,6,0,4,0
tester-data,io.qkits.testdata.riskmock.base,FeatureDefinition,306,0,54,0,10,0,46,0,19,0
tester-data,io.qkits.testdata.riskmock.base,ServiceFeatureDefinition,128,0,22,0,6,0,22,0,11,0
tester-data,io.qkits.testdata.riskmock.base,FeatureTypeEnum,54,0,0,0,2,0,1,0,1,0
tester-data,io.qkits.testdata.riskmock.base,FeaturesConstant,6,0,0,0,2,0,2,0,2,0
tester-data,io.qkits.testdata.riskmock.base,BaseFeatureEntity,175,0,30,0,8,0,26,0,11,0
tester-data,io.qkits.testdata.riskmock.base,FeatureDefinition.FeatureDefinitionBuilder,63,0,0,0,1,0,9,0,9,0
tester-data,io.qkits.testdata.riskmock.base,FeaturesProvider,82,0,4,0,19,0,5,0,3,0
tester-data,io.qkits.testdata.riskmock.base,ServiceFeatureDefinition.ServiceFeatureDefinitionBuilder,27,0,0,0,1,0,5,0,5,0
tester-data,io.qkits.testdata.riskmock.base,FeatureException,23,0,0,0,10,0,5,0,5,0
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp.bits,BitsLoanHistoryEntryMock,19,0,0,0,6,0,3,0,3,0
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp.bits,BitsMultiLendingEntryMock,19,0,0,0,6,0,3,0,3,0
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp.bits,BitsAssignDateMultiLendingEntryMock,19,0,0,0,7,0,3,0,3,0
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp.miniscore,MiniScoreIllegalEntryMock,73,0,2,0,15,0,5,0,4,0
tester-data,io.qkits.testdata.riskmock.thirdparty.features.tp.miniscore,MiniScoreMock,22,0,0,0,9,0,4,0,4,0
tester-data,io.qkits.testdata.riskmock,FeatureManager,47,0,0,0,13,0,7,0,7,0
tester-data,io.qkits.testdata.riskmock,MockAction,5,0,0,0,1,0,1,0,1,0
